"","video.type","account","image.name","rows","num_sales"
"1","script video - education","purple carrot","mealchoicegif_103118",388,116
"2","script video - education","custom.ink","ad2v2square",1017,51
"3","script video - education","custom.ink","ad1v2square",933,78
"4","script video - education","custom.ink","ad_2_v2",341,11
"5","script video - education","custom.ink","ad_1_v2",336,6
"6","script video - education","ebates activation","general2squarenobadge",1381,1116
"7","script video - education","ebates activation","italladdsup-money-nobadges",1282,1619
"8","script video - education","ebates activation","30secguidecashback",248,755
"9","script video - education","perfect keto","barscript6",23,265
"10","script video - education","perfect keto","raisingthebaryellow",20,148
"11","script video - education","perfect keto","perfectketo_script5",7,7
"12","script video - education","perfect keto","raisingthebarwhite",5,3
"13","script video - education","bitsbox ads","bitsbox-s1_this-box",1012,2733
"14","script video - education","bitsbox ads","bitsbox-s3_did-you-know",367,115
"15","script video - education","bitsbox ads","digitaldoodledraw",10,5
"16","script video - process","custom.ink","123novascreenprint",4507,4947
"17","script video - process","custom.ink","ad3v2square",1226,75
"18","script video - process","custom.ink","123nova",187,72
"19","script video - process","custom.ink","123",181,76
"20","script video - process","custom.ink","ad_3_v2",24,0
"21","script video - process","customink fundraising","horserescue123vid",1101,1039
"22","script video - product","perfect keto","barvideohand",30,91
"23","script video - product","perfect keto","barvideointroducing",30,0
"24","script video - product","perfect keto","barscript5",16,20
"25","script video - product","perfect keto","perfectketo_script1",7,4
"26","script video - product","bitsbox ads","testimonial",629,599
"27","script video - product","bitsbox ads","characters_v1a",140,70
"28","script video - product","bitsbox ads","code_03_combo",109,124
"29","script video - product","bitsbox ads","cardflip1",6,4
"30","script video","ebates activation","grinchvideo_30s",200,813
"31","script video","ebates activation","grinchvideo_60s",200,903
"32","script video","ebates activation","beauty",115,1314
"33","script video","leesa us","oldwhdgif",5,4
"34","script video","ebates retention","grinchvideo_30s",94,36228
"35","script video","ebates retention","grinchvideo_60s",93,63624
"36","script video - testimonial","perfect keto","dranthonyvid1",206,112
"37","script video - testimonial","bitsbox ads","testimonial-builtthisapp",153,63
"38","script video - testimonial","bitsbox ads","bb-whydokids",137,60
"39","script video - testimonial","bitsbox ads","bb-myth_final",109,2
"40","script video - benefit","custom.ink","together",126,82
"41","script video - benefit","perfect keto","bartealingredientgif",4,14
"42","script video - benefit","bitsbox ads","v3",145,25
"43","script video - benefit","bitsbox ads","v1_fast",74,11
